City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,talnakh,69.4865,88.3972,247.39,99,96,2.15,RU,1710118704
159,aguada de pasajeros,22.385,-80.8508,299.24,74,77,1.82,CU,1710118705
160,bredasdorp,-34.5322,20.0403,290.15,89,0,2.4,ZA,1710118705
161,queenstown,-31.8976,26.8753,289.04,99,47,0.96,ZA,1710118705
162,tralee,52.2704,-9.7026,280.11,90,90,1.5,IE,1710118705
163,camaiore,43.9097,10.2419,283.16,87,97,2.63,IT,1710118706
164,port mathurin,-19.6833,63.4167,299.61,79,19,10.02,MU,1710118706
165,karratha,-20.7377,116.8463,304.68,53,74,3.55,AU,1710118706
166,puerto aysen,-45.4,-72.7,283.75,99,100,1.82,CL,1710118706
167,parit buntar,5.1267,100.4932,301.14,88,100,1.62,MY,1710118708
168,amahai,-3.3333,128.9167,300.29,80,96,3.11,ID,1710118708
169,mantua,45.1667,10.7833,279.73,96,50,0.89,IT,1710118708
170,kentau,43.5206,68.5094,279.26,72,38,1.35,KZ,1710118709
171,boulogne-sur-mer,50.75,1.8333,281.64,94,100,2.76,FR,1710118709
172,pirallahi,40.4723,50.333,278.23,81,95,3.3,AZ,1710118710
173,neuenkirch,47.0999,8.2042,277.53,98,20,1.03,CH,1710118710
174,wattegama,6.7989,81.4808,294.79,89,25,2.03,LK,1710118710
175,new baltimore,42.6811,-82.7369,276.51,59,40,9.85,US,1710118710
176,chonchi,-42.6128,-73.8092,286.71,98,100,1.18,CL,1710118711
177,pontianak,-0.0333,109.3333,300.14,88,40,1.54,ID,1710118711
178,ancud,-41.8697,-73.8203,287.27,87,100,5.69,CL,1710118711
179,fort st. john,56.2499,-120.8529,274.09,93,100,5.14,CA,1710118501
180,glace bay,46.1969,-59.957,273.4,94,100,10.29,CA,1710118711
181,baiti,13.745,-14.7482,301.86,16,52,4.22,SN,1710118712
182,ad dawadimi,24.5077,44.3924,293.79,15,98,5.57,SA,1710118712
183,broken hill,-31.95,141.4333,304.71,20,44,5.52,AU,1710118712
184,jijiga,9.35,42.8,293.89,62,42,4.54,ET,1710118712
185,minas de marcona,-15.2119,-75.1103,291.89,78,24,5.67,PE,1710118713
186,shihezi,44.3,86.0333,268.69,83,100,1.95,CN,1710118713
187,kenai,60.5544,-151.2583,270.2,74,40,5.14,US,1710118713
188,la'ie,21.6477,-157.9253,299.13,80,100,4.47,US,1710118713
189,lebu,-37.6167,-73.65,287.29,83,100,1.97,CL,1710118714
190,aasiaat,68.7098,-52.8699,249.76,100,95,1.13,GL,1710118714
191,atafu village,-8.5421,-172.5159,302.87,75,95,5.38,TK,1710118714
192,peace river,56.2501,-117.286,278.32,65,75,3.6,CA,1710118448
193,helena valley west central,46.6629,-112.0604,285.64,26,20,7.72,US,1710118714
194,carutapera,-1.195,-46.02,298.75,92,100,2.13,BR,1710118715
195,hamilton,39.1834,-84.5333,278.95,49,20,6.26,US,1710118455
196,latakia,35.5148,35.7768,283.25,65,7,1.38,SY,1710118716
197,fukuecho,32.6881,128.8419,285.35,62,40,4.63,JP,1710118716
198,pemagatshel,27.038,91.4031,286.01,51,0,1.91,BT,1710118717
199,keetmanshoop,-26.5833,18.1333,300.71,14,1,2.65,NA,1710118717
200,banff,51.1762,-115.5698,277.72,64,100,1.54,CA,1710118717
201,ballycastle,55.2044,-6.243,279.29,94,100,7.52,GB,1710118717
202,northam,51.0333,-4.2167,280.03,94,86,0.82,GB,1710118717
203,tome,-36.6167,-72.95,287.49,88,16,1.74,CL,1710118718
204,bharatpur,27.2167,77.4833,292.57,24,90,1.81,IN,1710118718
205,hithadhoo,-0.6,73.0833,301.14,72,12,3.76,MV,1710118718
206,yaren,-0.5472,166.916,301.59,82,73,6.52,NR,1710118719
207,alice springs,-23.7,133.8833,307.16,36,40,6.17,AU,1710118720
208,mitu,1.1983,-70.1733,298.12,84,100,0.98,CO,1710118720
209,lalganj,25.8667,85.1833,289.12,32,0,1.11,IN,1710118720
210,carnarvon,-24.8667,113.6333,302.03,58,0,6.53,AU,1710118720
211,happy valley-goose bay,53.3168,-60.3315,275.32,41,100,2.57,CA,1710118720
212,arkhangel'sk,64.5401,40.5433,273.21,100,75,5.0,RU,1710118721
213,amarante do maranhao,-5.5667,-46.7422,297.41,91,56,1.57,BR,1710118721
214,geraldton,-28.7667,114.6,297.38,53,0,4.63,AU,1710118721
215,prado,-17.3411,-39.2208,300.2,87,98,4.67,BR,1710118721
216,uzgen,40.7699,73.3007,277.31,68,100,1.85,KG,1710118722
217,alo,7.4178,6.7371,303.03,67,70,2.91,NG,1710118722
218,kuhdasht,33.535,47.6061,280.39,71,100,1.75,IR,1710118722
219,merlo,-32.3429,-65.014,296.37,83,4,4.54,AR,1710118722
220,santa cruz,-17.8,-63.1667,299.85,83,63,2.57,BO,1710118722
221,la ferte-saint-aubin,47.7169,1.939,277.19,93,98,1.97,FR,1710118723
222,changyon,38.2508,125.0961,279.38,74,100,6.12,KP,1710118723
223,haiku-pauwela,20.9219,-156.3051,297.16,72,20,10.29,US,1710118723
224,bac lieu,9.285,105.7244,300.79,68,2,7.13,VN,1710118724
225,saint-philippe,-21.3585,55.7679,298.92,85,29,5.68,RE,1710118724
226,bayanhongor,46.7167,100.1167,253.5,71,6,1.67,MN,1710118724
227,margaret river,-33.95,115.0667,291.1,61,0,4.81,AU,1710118725
228,quesnel,52.9999,-122.5029,282.43,43,75,5.66,CA,1710118725
229,mahibadhoo,3.7833,72.9667,301.0,76,100,4.47,MV,1710118725
